,sartist,dartist,distance
0,1617,12810,0.03510630376
1,1617,14434,0.04815909621
2,1617,19194,0.05324621415
3,1617,3495,0.05646903989
4,1617,14193,0.05732949405
5,1617,19722,0.05850011027
6,1617,15211,0.06109918122
7,1617,17158,0.06118200126
8,1617,12633,0.06609630962
9,1617,12564,0.06651699212
10,1617,9087,0.06723450254
11,1617,17110,0.06843626138
12,1617,19362,0.06936839301
13,1617,11545,0.06940928235
14,1617,20665,0.06958335231
15,1617,7895,0.07124570541
16,1617,23097,0.07205827245
17,1617,19967,0.07226373615
18,1617,17099,0.07312394964
19,1617,9393,0.07328391631
20,1617,6411,0.07353272093
21,1617,20674,0.07439238167
22,1617,21459,0.07478844231
23,1617,17839,0.07481241666
24,1617,10611,0.07554817193
25,1617,14272,0.07660828311
26,1617,14131,0.07679609428
27,1617,10586,0.07832292533
28,1617,4258,0.07865857582
29,1617,20457,0.08004676651
30,3101,7476,0.00616248757
31,3101,16968,0.01990213877
32,3101,18324,0.02035326633
33,3101,5084,0.02395441729
34,3101,20836,0.02438468058
35,3101,10694,0.02560707216
36,3101,22836,0.02704972416
37,3101,19572,0.02746496635
38,3101,14319,0.02813329744
39,3101,19153,0.02954190663
40,3101,17533,0.0300037631
41,3101,5855,0.03047533129
42,3101,5155,0.03112601379
43,3101,16203,0.0315889874
44,3101,14298,0.03167916745
45,3101,6938,0.03397432363
46,3101,5028,0.03497435538
47,3101,21203,0.03504173408
48,3101,7416,0.0353281522
49,3101,16904,0.03995913714
50,3101,12419,0.03996539908
51,3101,13149,0.04056870477
52,3101,19819,0.04175830044
53,3101,13479,0.04275382925
54,3101,7489,0.04296257669
55,3101,10587,0.04361706788
56,3101,18788,0.04372781288
57,3101,13527,0.04439438937
58,3101,21398,0.04445611093
59,3101,8927,0.04489453015
60,3278,22134,0.06209259124
61,3278,15502,0.06635706225
62,3278,12584,0.07312974989
63,3278,22036,0.08398013231
64,3278,9217,0.09591509642
65,3278,21013,0.0960862802
66,3278,12654,0.09967413677
67,3278,11530,0.09984258857
68,3278,22357,0.1007931657
69,3278,5555,0.1027027791
70,3278,19422,0.1027557591
71,3278,12671,0.1071743099
72,3278,6062,0.1103464399
73,3278,14758,0.1113602993
74,3278,23345,0.1121751183
75,3278,17055,0.1136387051
76,3278,21981,0.1144255749
77,3278,14284,0.1160266407
78,3278,15589,0.1160388891
79,3278,15100,0.1163261227
80,3278,20800,0.1171612534
81,3278,7894,0.1172350497
82,3278,10807,0.1187045251
83,3278,22652,0.1198167462
84,3278,13873,0.1232208839
85,3278,11105,0.1248178287
86,3278,24225,0.1252142766
87,3278,8024,0.126549443
88,3278,9773,0.1279936608
89,3278,3442,0.1282426937
90,3442,11849,0.02338677509
91,3442,19208,0.02345955701
92,3442,23345,0.02352127071
93,3442,4892,0.025062081
94,3442,9215,0.02564846737
95,3442,21196,0.02591929423
96,3442,20457,0.0264722969
97,3442,11105,0.02652355873
98,3442,11436,0.02834653456
99,3442,19397,0.02853823959
100,3442,8927,0.02889011806
101,3442,6062,0.02899177499
102,3442,8993,0.02936184191
103,3442,5014,0.02988502541
104,3442,7442,0.03485791201
105,3442,10586,0.03506182344
106,3442,19911,0.03550076523
107,3442,23638,0.0359598308
108,3442,9217,0.03608954737
109,3442,22357,0.03636309467
110,3442,8425,0.03738670028
111,3442,20689,0.03750820899
112,3442,22968,0.03763076089
113,3442,16555,0.03765622404
114,3442,12633,0.03802447723
115,3442,19819,0.03898849535
116,3442,8024,0.04032553131
117,3442,6242,0.04057638714
118,3442,13348,0.04057973645
119,3442,17322,0.0411322394
120,3495,14193,0.007228316139
121,3495,23097,0.01762091817
122,3495,19194,0.0276019407
123,3495,12564,0.02804628742
124,3495,19362,0.0285158748
125,3495,14131,0.02859644894
126,3495,20665,0.02955551767
127,3495,21737,0.03212756427
128,3495,11086,0.03265055611
129,3495,15211,0.03266901252
130,3495,17110,0.03349788834
131,3495,17158,0.03443378226
132,3495,9087,0.03524195972
133,3495,17839,0.03648130814
134,3495,14272,0.03668309024
135,3495,21459,0.03709443379
136,3495,10611,0.03730132003
137,3495,17099,0.03933067873
138,3495,10586,0.03941737016
139,3495,14163,0.04006093097
140,3495,19722,0.04122464555
141,3495,15363,0.04134733423
142,3495,7781,0.04163644923
143,3495,10218,0.04268233544
144,3495,14434,0.04332539608
145,3495,15046,0.04437698826
146,3495,12810,0.04531162068
147,3495,12633,0.04559410397
148,3495,13348,0.04579310963
149,3495,12881,0.04676003311
150,4232,5155,0.01880690167
151,4232,14319,0.02024168117
152,4232,13576,0.02028703042
153,4232,17043,0.02157776004
154,4232,22877,0.02271942074
155,4232,17533,0.02351737963
156,4232,7489,0.02431669552
157,4232,14924,0.02442999377
158,4232,11899,0.02581817009
159,4232,6938,0.02690868896
160,4232,4447,0.02855870647
161,4232,5557,0.02921987564
162,4232,16904,0.02922640687
163,4232,13527,0.03050176747
164,4232,10081,0.03057755179
165,4232,20450,0.03117793422
166,4232,22836,0.03213291233
167,4232,13149,0.03352857053
168,4232,5084,0.03387578671
169,4232,19577,0.03422561384
170,4232,14298,0.03475923559
171,4232,10694,0.03577132177
172,4232,6809,0.03605687126
173,4232,13479,0.03779951045
174,4232,21203,0.03920538451
175,4232,19011,0.03938660746
176,4232,18788,0.04015360622
177,4232,20380,0.04139223094
178,4232,13078,0.04193218494
179,4232,23638,0.04285972967
180,4258,20674,0.01166438863
181,4258,7433,0.02536020222
